"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight"
"M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27
"F",0.5,0.385,0.115,0.6785,0.2945,0.138,0.195
"M",0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275
"I",0.45,0.36,0.13,0.478,0.191,0.127,0.137
"M",0.635,0.485,0.18,1.1795,0.4785,0.2775,0.355
"F",0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11
"M",0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
"F",0.58,0.465,0.145,0.9865,0.47,0.2155,0.25
"F",0.5,0.405,0.15,0.5965,0.253,0.126,0.185
"M",0.5,0.39,0.125,0.5215,0.2485,0.117,0.131
