"SexM","SexF","SexI","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","binaryClass"
1,0,0,0.513513513513514,0.521008403361345,0.084070796460177,0.181335222241898,0.15030262273033,0.132323897300856,0.147982062780269,0
1,0,0,0.371621621621622,0.352941176470588,0.079646017699115,0.0791570745528599,0.066240753194351,0.0631994733377222,0.068261086198306,1
0,1,0,0.614864864864865,0.61344537815126,0.119469026548673,0.239064990260315,0.17182246133154,0.185648452929559,0.207772795216741,1
1,0,0,0.493243243243243,0.521008403361345,0.110619469026549,0.182043562953781,0.144250168123739,0.149440421329822,0.152964623816642,0
0,0,1,0.344594594594595,0.336134453781513,0.0707964601769911,0.0718965822560652,0.0595158036314728,0.0513495720868993,0.0533134030891878,1
0,0,1,0.472972972972973,0.411764705882353,0.084070796460177,0.123782539401452,0.0941492938802959,0.101382488479263,0.118086696562033,1
0,1,0,0.614864864864865,0.605042016806723,0.132743362831858,0.274659111032407,0.158708809683927,0.185648452929559,0.327354260089686,0
0,1,0,0.635135135135135,0.621848739495798,0.110619469026549,0.271294492650965,0.197041022192334,0.196181698485846,0.257598405580468,0
1,0,0,0.540540540540541,0.529411764705882,0.110619469026549,0.179741455640163,0.144922663080027,0.147465437788018,0.162929745889387,1
0,1,0,0.641891891891892,0.647058823529412,0.132743362831858,0.316097042677528,0.210827168796234,0.19815668202765,0.317389138016941,0
0,1,0,0.608108108108108,0.546218487394958,0.123893805309735,0.21409598016646,0.129791526563551,0.193548387096774,0.207772795216741,0
1,0,0,0.47972972972973,0.495798319327731,0.0973451327433628,0.143084823800248,0.111970410221923,0.105990783410138,0.133034379671151,0
1,0,0,0.560810810810811,0.546218487394958,0.119469026548673,0.191074907030282,0.145595158036315,0.124423963133641,0.187842551071251,0
0,1,0,0.621621621621622,0.588235294117647,0.128318584070796,0.241721267929874,0.182582380632145,0.224489795918367,0.202790234180369,0
0,1,0,0.533783783783784,0.504201680672269,0.088495575221239,0.167699663538162,0.111970410221923,0.10533245556287,0.182859990034878,0
1,0,0,0.574324324324324,0.579831932773109,0.115044247787611,0.23463786081105,0.172831203765972,0.174456879526004,0.237668161434978,0
0,0,1,0.378378378378378,0.378151260504202,0.0752212389380531,0.102178147689038,0.0632145258910558,0.0513495720868993,0.11310413552566,1
0,1,0,0.493243243243243,0.478991596638656,0.088495575221239,0.159022489817602,0.125756556825824,0.113890717577354,0.128051818634778,0
1,0,0,0.391891891891892,0.403361344537815,0.0707964601769911,0.0897821852310962,0.0645595158036315,0.0559578670177748,0.0981564524165421,1
1,0,0,0.506756756756757,0.445378151260504,0.088495575221239,0.134230564901718,0.113987895090787,0.098090849242923,0.11310413552566,1
1,0,0,0.378378378378378,0.378151260504202,0.084070796460177,0.0862404816716841,0.0635507733691997,0.0809743252139565,0.0732436472346786,0
0,0,1,0.412162162162162,0.369747899159664,0.088495575221239,0.0791570745528599,0.0531271015467384,0.0638578011849901,0.083208769307424,0
0,1,0,0.662162162162162,0.647058823529412,0.13716814159292,0.332034708694882,0.286819098856759,0.28110599078341,0.267563527653214,0
0,1,0,0.641891891891892,0.605042016806723,0.119469026548673,0.26970072604923,0.213180901143241,0.275839368005267,0.197807673143996,1
0,1,0,0.72972972972973,0.714285714285714,0.146017699115044,0.41066052771383,0.344317417619368,0.395655036208032,0.302441454907823,0
0,1,0,0.655405405405405,0.647058823529412,0.123893805309735,0.328138834779529,0.256556825823806,0.246872942725477,0.29745889387145,0
0,1,0,0.682432432432432,0.663865546218487,0.163716814159292,0.35186824862759,0.26462676529926,0.357472021066491,0.282511210762332,0
1,0,0,0.695945945945946,0.65546218487395,0.123893805309735,0.329024260669382,0.238735709482179,0.307439104674128,0.277528649725959,0
1,0,0,0.716216216216216,0.705882352941176,0.15929203539823,0.330972197627059,0.264290517821116,0.28768926925609,0.292476332835077,0
1,0,0,0.675675675675676,0.621848739495798,0.123893805309735,0.30511776164335,0.263618022864828,0.298222514812377,0.197807673143996,0
1,0,0,0.682432432432432,0.697478991596639,0.146017699115044,0.352576589339472,0.263954270342972,0.317972350230415,0.327354260089686,0
0,1,0,0.817567567567568,0.848739495798319,0.146017699115044,0.579776872675757,0.406523201075992,0.368663594470046,0.456900847035376,0
1,0,0,0.797297297297297,0.789915966386555,0.146017699115044,0.473171595537454,0.370208473436449,0.470046082949309,0.347284504235177,0
0,1,0,0.817567567567568,0.831932773109244,0.154867256637168,0.636089959270409,0.547410894418292,0.516129032258065,0.451918285999004,0
0,1,0,0.851351351351351,0.831932773109244,0.176991150442478,0.604745882769612,0.425016812373907,0.541145490454246,0.486796213253612,0
1,0,0,0.527027027027027,0.504201680672269,0.0929203539823009,0.169116344961927,0.151983860121049,0.162606978275181,0.123069257598406,1
0,1,0,0.628378378378378,0.705882352941176,0.13716814159292,0.430316982468567,0.356086079354405,0.404213298222515,0.337319382162432,0
0,1,0,0.506756756756757,0.504201680672269,0.0929203539823009,0.184345670267399,0.158708809683927,0.152732060566162,0.142999501743896,1
0,1,0,0.675675675675676,0.65546218487395,0.119469026548673,0.312024083584204,0.255548083389375,0.267281105990783,0.257598405580468,0
1,0,0,0.378378378378378,0.394957983193277,0.079646017699115,0.115282450858863,0.0894418291862811,0.112574061882818,0.0881913303437967,1
0,1,0,0.506756756756757,0.470588235294118,0.0929203539823009,0.149814060563131,0.124747814391392,0.119157340355497,0.11310413552566,1
0,1,0,0.641891891891892,0.621848739495798,0.119469026548673,0.300867717372056,0.242770679219906,0.257406188281764,0.267563527653214,0
0,0,1,0.222972972972973,0.201680672268908,0.0398230088495575,0.0240835842040021,0.0205110961667787,0.0302830809743252,0.018435475834579,1
0,0,1,0.175675675675676,0.159663865546218,0.0486725663716814,0.0141668142376483,0.0164761264290518,0.0190915075707702,0.0104633781763827,1
0,0,1,0.182432432432432,0.159663865546218,0.0442477876106195,0.0141668142376483,0.0110961667787492,0.0157998683344305,0.0134529147982063,1
0,0,1,0.425675675675676,0.403361344537815,0.084070796460177,0.0711882415441828,0.0581708137188971,0.0585911784068466,0.0732436472346786,1
1,0,0,0.533783783783784,0.529411764705882,0.106194690265487,0.204533380556047,0.196368527236046,0.298222514812377,0.138016940707524,1
0,1,0,0.52027027027027,0.53781512605042,0.106194690265487,0.162387108199044,0.118695359784802,0.144173798551679,0.147982062780269,1
0,0,1,0.337837837837838,0.319327731092437,0.0619469026548673,0.056313086594652,0.0501008742434432,0.032916392363397,0.0433482810164425,1
0,1,0,0.608108108108108,0.621848739495798,0.141592920353982,0.295200991676997,0.237726967047747,0.280447662936142,0.24265072247135,1
0,0,1,0.601351351351351,0.596638655462185,0.106194690265487,0.210023021073136,0.159717552118359,0.145490454246215,0.187842551071251,1
1,0,0,0.439189189189189,0.445378151260504,0.084070796460177,0.106605277138304,0.0891055817081372,0.0783410138248848,0.0981564524165421,1
1,0,0,0.554054054054054,0.512605042016807,0.115044247787611,0.191074907030282,0.173839946200404,0.125740618828176,0.157947184853014,0
0,1,0,0.533783783783784,0.512605042016807,0.106194690265487,0.168408004250044,0.1408876933423,0.138248847926267,0.147982062780269,0
1,0,0,0.445945945945946,0.428571428571429,0.088495575221239,0.135647246325483,0.115669132481506,0.119815668202765,0.108121574489288,1
0,1,0,0.574324324324324,0.579831932773109,0.123893805309735,0.233575349743226,0.17182246133154,0.230414746543779,0.217737917289487,1
1,0,0,0.5,0.495798319327731,0.106194690265487,0.156012041792102,0.128446536650975,0.125082290980908,0.133034379671151,1
1,0,0,0.533783783783784,0.554621848739496,0.119469026548673,0.20807508411546,0.185272360457297,0.157340355497038,0.16791230692576,1
0,0,1,0.22972972972973,0.226890756302521,0.0530973451327434,0.0297503098990614,0.0275722932078009,0.0177748518762344,0.0234180368709517,1
0,1,0,0.581081081081081,0.579831932773109,0.110619469026549,0.205772976801842,0.164761264290518,0.170506912442396,0.172894867962133,1
1,0,0,0.506756756756757,0.487394957983193,0.0929203539823009,0.145032760757925,0.120376597175521,0.147465437788018,0.133034379671151,1
1,0,0,0.581081081081081,0.588235294117647,0.0973451327433628,0.220648131751372,0.2044384667115,0.210006583278473,0.172894867962133,1
0,1,0,0.614864864864865,0.596638655462185,0.115044247787611,0.245971312201169,0.202420981842636,0.254114549045425,0.197807673143996,0
1,0,0,0.472972972972973,0.453781512605042,0.084070796460177,0.133345139011865,0.113987895090787,0.104674127715602,0.0981564524165421,1
1,0,0,0.601351351351351,0.579831932773109,0.106194690265487,0.204710465734018,0.156691324815064,0.1724818959842,0.182859990034878,1
1,0,0,0.540540540540541,0.504201680672269,0.106194690265487,0.169293430139897,0.156691324815064,0.132982225148124,0.133034379671151,1
0,1,0,0.662162162162162,0.647058823529412,0.141592920353982,0.323357534974323,0.237390719569603,0.254114549045425,0.317389138016941,0
0,1,0,0.702702702702703,0.739495798319328,0.163716814159292,0.454400566672569,0.279085406859449,0.294272547728769,0.48181365221724,0
0,1,0,0.540540540540541,0.563025210084034,0.106194690265487,0.187179033114928,0.142905178211163,0.151415404871626,0.16791230692576,0
0,0,1,0.317567567567568,0.302521008403361,0.0619469026548673,0.0527713830352399,0.0416946872898453,0.0526662277814352,0.0433482810164425,1
1,0,0,0.648648648648649,0.621848739495798,0.115044247787611,0.270763237117053,0.176866173503699,0.22053982883476,0.272546088689586,0
0,1,0,0.439189189189189,0.445378151260504,0.0973451327433628,0.124313794935364,0.093813046402152,0.129032258064516,0.0981564524165421,1
0,1,0,0.702702702702703,0.705882352941176,0.150442477876106,0.440942093146804,0.32212508406187,0.295589203423305,0.422022919780767,0
1,0,0,0.668918918918919,0.714285714285714,0.154867256637168,0.418983531078449,0.318090114324143,0.342988808426596,0.377179870453413,0
0,1,0,0.716216216216216,0.663865546218487,0.172566371681416,0.388170710111564,0.322797579018157,0.380513495720869,0.312406576980568,0
0,1,0,0.709459459459459,0.705882352941176,0.132743362831858,0.356118292898884,0.296906523201076,0.290322580645161,0.277528649725959,0
1,0,0,0.702702702702703,0.705882352941176,0.123893805309735,0.333628475296618,0.24310692669805,0.248189598420013,0.312406576980568,1
0,1,0,0.709459459459459,0.697478991596639,0.132743362831858,0.325836727465911,0.243443174176194,0.254772876892693,0.302441454907823,0
0,1,0,0.648648648648649,0.621848739495798,0.123893805309735,0.278377899769789,0.18897108271688,0.209348255431205,0.282511210762332,0
0,1,0,0.72972972972973,0.705882352941176,0.150442477876106,0.389764476713299,0.315063887020847,0.309414088215931,0.342301943198804,0
0,1,0,0.675675675675676,0.65546218487395,0.123893805309735,0.332565964228794,0.257901815736382,0.331138907175773,0.282511210762332,1
1,0,0,0.736486486486487,0.764705882352941,0.154867256637168,0.571276784133168,0.342636180228648,0.252139565503621,0.671150971599402,0
0,1,0,0.601351351351351,0.621848739495798,0.146017699115044,0.349389056136001,0.265635507733692,0.295589203423305,0.317389138016941,0
1,0,0,0.702702702702703,0.705882352941176,0.141592920353982,0.465911103240659,0.273705447209146,0.307439104674128,0.576482311908321,0
1,0,0,0.682432432432432,0.663865546218487,0.123893805309735,0.358066229856561,0.254875588433087,0.283739302172482,0.357249626307922,0
0,1,0,0.668918918918919,0.689075630252101,0.15929203539823,0.457942270231982,0.227303295225286,0.292297564186965,0.436970602889885,0
