"parents","has_nurs","form","children","housing","finance","social","health"
"usual","less_proper","complete","more","critical","inconv","problematic","recommended"
"great_pret","less_proper","completed","2","convenient","convenient","slightly_prob","priority"
"usual","proper","incomplete","3","convenient","convenient","nonprob","recommended"
"pretentious","proper","foster","2","less_conv","convenient","nonprob","not_recom"
"usual","proper","incomplete","more","critical","inconv","nonprob","not_recom"
"pretentious","critical","foster","2","convenient","convenient","problematic","not_recom"
"great_pret","improper","foster","2","convenient","convenient","slightly_prob","not_recom"
"great_pret","less_proper","incomplete","1","less_conv","inconv","problematic","recommended"
"great_pret","very_crit","completed","1","less_conv","convenient","slightly_prob","not_recom"
"great_pret","improper","foster","1","critical","convenient","nonprob","recommended"
