"Whether_of_not_the_TA_is_a_native_English_speaker1","Whether_of_not_the_TA_is_a_native_English_speaker2","Course_instructor","Course","Summer_or_regular_semester1","Summer_or_regular_semester2","Class_size","binaryClass"
1,0,0.916666666666667,0.08,1,0,0.253968253968254,1
0,1,0.583333333333333,0.08,1,0,0.222222222222222,1
1,0,0.916666666666667,0.08,0,1,0.73015873015873,1
1,0,0.166666666666667,0.04,0,1,0.476190476190476,1
0,1,0.25,0.4,0,1,0.825396825396825,1
0,1,0.916666666666667,0.08,1,0,0.26984126984127,1
0,1,0.333333333333333,0.16,0,1,0.253968253968254,1
0,1,0.375,0.08,0,1,0.380952380952381,1
1,0,0.875,0.08,1,0,0.873015873015873,1
0,1,0.583333333333333,0.08,1,0,0.26984126984127,1
0,1,0.375,0.84,0,1,0.0952380952380952,1
0,1,0.5,0,0,1,0.428571428571429,1
0,1,0.708333333333333,0.8,0,1,0.412698412698413,1
0,1,0.208333333333333,0.64,0,1,0.571428571428571,1
0,1,0.208333333333333,0.64,0,1,0.619047619047619,0
0,1,0.208333333333333,0.64,0,1,0.634920634920635,0
0,1,0.25,0.4,0,1,0.111111111111111,0
0,1,0.875,0.08,0,1,0.682539682539683,0
0,1,0.5,0.08,1,0,0.111111111111111,0
0,1,0.25,0.96,0,1,0.619047619047619,0
0,1,1,0.24,0,1,0.380952380952381,0
0,1,1,0.24,0,1,0.317460317460317,0
0,1,0.0416666666666667,0.32,0,1,0.444444444444444,0
0,1,0,0.56,1,0,0.301587301587302,0
0,1,0.583333333333333,0.48,0,1,0.53968253968254,0
0,1,0.25,0.4,0,1,0.158730158730159,0
0,1,0.291666666666667,0.08,0,1,0.333333333333333,0
0,1,0.541666666666667,0.56,0,1,0.555555555555556,0
0,1,0.833333333333333,0.04,0,1,0.619047619047619,0
0,1,0.875,0.08,0,1,0.396825396825397,0
0,1,0.416666666666667,0,0,1,0.761904761904762,0
0,1,0.708333333333333,0.16,0,1,0.253968253968254,0
0,1,0.5,0,0,1,0.444444444444444,0
1,0,0.5,0.08,1,0,0.158730158730159,0
0,1,0.166666666666667,0.04,0,1,0.53968253968254,0
0,1,0.625,0.28,0,1,0.523809523809524,0
0,1,0.125,0.6,0,1,0.285714285714286,0
0,1,0.166666666666667,0.04,0,1,0.714285714285714,0
0,1,0.541666666666667,0.56,0,1,0.555555555555556,0
1,0,0.916666666666667,0.08,1,0,0.253968253968254,1
0,1,0.583333333333333,0.08,1,0,0.222222222222222,1
1,0,0.916666666666667,0.08,0,1,0.73015873015873,1
1,0,0.166666666666667,0.04,0,1,0.476190476190476,1
0,1,0.25,0.4,0,1,0.825396825396825,1
0,1,0.916666666666667,0.08,1,0,0.26984126984127,1
0,1,0.333333333333333,0.16,0,1,0.253968253968254,1
0,1,0.375,0.08,0,1,0.380952380952381,1
1,0,0.875,0.08,0,1,0.873015873015873,1
0,1,0.583333333333333,0.08,1,0,0.26984126984127,1
0,1,0.375,0.84,0,1,0.0952380952380952,1
0,1,0.5,0,0,1,0.428571428571429,1
0,1,0.708333333333333,0.8,0,1,0.412698412698413,1
0,1,0.208333333333333,0.64,0,1,0.571428571428571,1
0,1,0.208333333333333,0.64,0,1,0.619047619047619,0
0,1,0.208333333333333,0.64,0,1,0.634920634920635,0
0,1,0.25,0.4,0,1,0.111111111111111,0
0,1,0.875,0.08,0,1,0.682539682539683,0
0,1,0.5,0.08,1,0,0.111111111111111,0
0,1,0.25,0.96,0,1,0.619047619047619,0
0,1,1,0.24,0,1,0.380952380952381,0
0,1,1,0.24,0,1,0.317460317460317,0
0,1,0.0416666666666667,0.32,0,1,0.444444444444444,0
0,1,0,0.56,1,0,0.301587301587302,0
0,1,0.583333333333333,0.48,0,1,0.53968253968254,0
0,1,0.25,0.4,0,1,0.158730158730159,0
0,1,0.291666666666667,0.08,0,1,0.333333333333333,0
0,1,0.541666666666667,0.56,0,1,0.555555555555556,0
0,1,0.833333333333333,0.04,0,1,0.619047619047619,0
0,1,0.875,0.08,0,1,0.396825396825397,0
0,1,0.416666666666667,0,0,1,0.761904761904762,0
0,1,0.708333333333333,0.16,0,1,0.253968253968254,0
0,1,0.5,0,0,1,0.444444444444444,0
1,0,0.5,0.08,1,0,0.158730158730159,0
0,1,0.166666666666667,0.04,0,1,0.53968253968254,0
0,1,0.625,0.28,0,1,0.523809523809524,0
0,1,0.125,0.6,0,1,0.285714285714286,0
0,1,0.166666666666667,0.04,0,1,0.714285714285714,0
0,1,0.541666666666667,0.56,0,1,0.555555555555556,0
1,0,0.916666666666667,0.08,1,0,0.349206349206349,1
1,0,0.5,0.08,1,0,0.222222222222222,1
0,1,0.625,0.72,0,1,0.126984126984127,1
0,1,0.333333333333333,0.04,0,1,0.571428571428571,1
0,1,0.5,0.08,1,0,0.126984126984127,1
0,1,0.708333333333333,0.8,0,1,0.253968253968254,1
1,0,0.875,0.08,0,1,0.666666666666667,1
0,1,0.25,0.4,1,0,0.26984126984127,1
0,1,0.916666666666667,0.08,1,0,0.26984126984127,1
1,0,0.916666666666667,0.08,1,0,0.26984126984127,1
1,0,0.916666666666667,0.08,0,1,0.555555555555556,1
0,1,0.541666666666667,0.84,0,1,0.222222222222222,1
1,0,0.666666666666667,0.64,0,1,0.253968253968254,1
0,1,0.333333333333333,0.16,0,1,0.333333333333333,1
0,1,0.708333333333333,0.96,0,1,0.349206349206349,1
1,0,0.666666666666667,0.64,0,1,0.444444444444444,1
0,1,0,0.56,0,1,0.444444444444444,1
0,1,0,0.28,0,1,0.238095238095238,0
1,0,0.416666666666667,0.6,0,1,0.301587301587302,0
1,0,0.875,0.48,0,1,0.380952380952381,0
0,1,0.333333333333333,0.04,0,1,0.174603174603175,0
0,1,0.5,0,0,1,0.26984126984127,0
1,0,0.208333333333333,0.64,0,1,0.507936507936508,0
0,1,0.916666666666667,0.08,1,0,0.26984126984127,0
1,0,0.916666666666667,0.08,1,0,0.26984126984127,0
0,1,0.208333333333333,0.64,0,1,0.53968253968254,0
1,0,0.875,0.08,0,1,0.19047619047619,0
0,1,0.791666666666667,0.04,0,1,0.349206349206349,0
0,1,0.916666666666667,0.08,0,1,0.111111111111111,0
0,1,0.791666666666667,0.04,0,1,0.174603174603175,0
1,0,0.916666666666667,0.08,0,1,0.555555555555556,0
0,1,0.5,0,0,1,0.412698412698413,0
0,1,0.375,0.08,0,1,0.253968253968254,0
0,1,0.25,0.4,0,1,0.428571428571429,0
1,0,0.541666666666667,0.56,0,1,0.46031746031746,0
0,1,0.291666666666667,0.08,0,1,0.380952380952381,0
0,1,0.458333333333333,0.24,0,1,0.492063492063492,0
0,1,0.291666666666667,0.24,0,1,0.317460317460317,0
0,1,0.583333333333333,0,0,1,1,0
0,1,0.916666666666667,0.08,0,1,0.142857142857143,0
0,1,0.0416666666666667,0.32,0,1,0.412698412698413,0
0,1,0.583333333333333,0,0,1,0.253968253968254,0
0,1,0.791666666666667,0.04,0,1,0,0
0,1,0.5,0.52,0,1,0.222222222222222,1
0,1,0.333333333333333,0.2,0,1,0.0634920634920635,1
1,0,0.375,0.08,0,1,0.285714285714286,1
0,1,0.541666666666667,0.56,0,1,0.523809523809524,1
1,0,0.5,0,0,1,0.80952380952381,1
1,0,0.291666666666667,0.08,0,1,0.412698412698413,1
0,1,0.791666666666667,0.04,0,1,0.666666666666667,1
0,1,0.875,0,0,1,0.126984126984127,0
0,1,0.708333333333333,0.44,0,1,0.206349206349206,0
0,1,0.791666666666667,0.56,0,1,0.238095238095238,0
1,0,0.666666666666667,0.68,0,1,0.650793650793651,0
0,1,0.541666666666667,0.88,0,1,0.222222222222222,0
0,1,0.958333333333333,1,0,1,0.285714285714286,0
0,1,0.333333333333333,0.92,0,1,0.26984126984127,0
0,1,0.458333333333333,0.28,0,1,0.333333333333333,0
0,1,0.333333333333333,0.2,0,1,0.0317460317460317,0
0,1,0.875,0,0,1,0.619047619047619,0
0,1,0.25,0.4,0,1,0.428571428571429,0
0,1,0.375,0.08,0,1,0.253968253968254,0
0,1,0.916666666666667,0.08,0,1,0.126984126984127,0
0,1,0.666666666666667,0.68,0,1,0.412698412698413,0
0,1,0.625,0.76,0,1,0.19047619047619,0
0,1,0.0833333333333333,0.04,0,1,0.53968253968254,0
0,1,0.75,0.12,0,1,0.111111111111111,0
0,1,0.916666666666667,0.08,0,1,0.333333333333333,0
0,1,0.0833333333333333,0.04,0,1,0.365079365079365,0
0,1,0.375,0.08,0,1,0.142857142857143,0
1,0,0.708333333333333,0.24,0,1,0.714285714285714,0
0,1,0.875,0,0,1,0.761904761904762,0
0,1,0.0416666666666667,0.36,0,1,0.380952380952381,0
